Title,Category,Type,Description,Application,Reference 
.lgo, Developer Files, Logo Instructions File," Saved program code written for Logo. an application that uses programmed instructions to draw pictures; contains code that defines where the ""turtle"" should draw each line; can be used for drawing basic or elaborate designs; often used for educational purposes.", Softronics MSW Logo|Transum Online Logo|Logo Interpreter|Turtle Academy|Simple Turtle LOGO, https://fileinfo.com//extension/lgo
.rbxlx, Developer Files, Roblox XML Place File, An RBXLX file contains a location that defines a place in Roblox. an online multiplayer building game.  It stores XML information that describes a Roblox playing area. which includes 3D models (.RBXM files). tools. parts. teams. and scripts.  RBXLX files are similar to .RBXL files but are saved in XML format. which helps reduce the file size., Empty, https://fileinfo.com//extension/rbxlx
.sbx, Compressed Files, ScratchX Project File, Compressed archive created by Shoebox. a tool included with the GLBasic software development toolkit; can store application resources such as graphics. video. music. or data files; can be decompressed by the application at runtime to extract specific files., Dream Design Entertainment GLBasic SDK|MIT ScratchX|SBXDec, https://fileinfo.com//extension/sbx
.sjr, Developer Files, ScratchJr Project File, An SJR file is a project created by ScratchJr. an app used to help young children learn how to program interactive games and stories.  It is a Zip-compressed archive that contains various resource files. such as .WAV sound files. .PNG thumbnails. and data .JSON files.  SJR files are used to create stories. small games. and animations., ScratchJr|ScratchJr|ScratchJr|ScratchJr, https://fileinfo.com//extension/sjr
.escn, Developer Files, Godot Engine Exported Scene File, An ESCN file contains a scene used by Godot Engine. a free and open source game engine used to create 2D and 3D games.  It stores information that details a single scene tree inside Godot Engine. which may include paths to external resources. internal resources. connections. and nodes., Godot Engine|Godot Engine|Godot Engine, https://fileinfo.com//extension/escn
.appxbundle, Developer Files, Windows App Bundle, An APPXBUNDLE file is an app package that is used for distributing Windows desktop and UWP (Universal Windows Platform) apps.  The package contains one or more versions of an app. each of which is compiled for a specific processor architecture (x86. x64. or ARM)., Empty, https://fileinfo.com//extension/appxbundle
.pc, Data Files, Pro*C Source Code File, Musical Score created with Personal Composer. a music notation. MIDI. sequencing. and publishing program; can be created using the software interface or recorded from a MIDI instrument., Personal Composer|Oracle ProC Precompiler|Oracle ProC Precompiler, https://fileinfo.com//extension/pc
.rbxs, Developer Files, Roblox Script, Script created for Roblox. an application used to develop and play online multiplayer building games; contains source code written in the Lua programming language; used for creating custom Roblox game content. such as vehicles. tools. and new gameplay features., Empty, https://fileinfo.com//extension/rbxs
.kt, Developer Files, Kotlin Source Code File, A KT file contains source code written in Kotlin. a statically typed programming language developed by JetBrains.  Kotlin supports both functional and object-oriented styles and is most often used to supplement or replace Java when developing business and end user applications., Google Android Studio|Google Android Studio|Google Android Studio, https://fileinfo.com//extension/kt
.rbxl, Developer Files, Roblox Location File, An RBXL file contains a location that defines a 3D world in Roblox. an online multiplayer building game.  It stores information that describes the playing field. which consists of 3D models (.RBXM files). parts. tools. scripts. and teams.  RBXL files can be created and opened with Roblox Studio., Empty, https://fileinfo.com//extension/rbxl
.tscn, Developer Files, Godot Engine Text Scene File, A TSCN file contains a scene created by Godot Engine. a free and open source game engine used to create 2D and 3D games.  It stores information that details a single scene tree inside Godot Engine. which may include paths to external resources. internal resources. connections. and nodes., Godot Engine|Godot Engine|Godot Engine, https://fileinfo.com//extension/tscn
.asar, Developer Files, Electron Archive, An ASAR file is an archive used to package source code for an application using Electron. an open source library used to build cross-platform programs.  It is saved in a format similar to .TAR archives where files contained in the archive. such as .HTML. .JS. and .CSS files. are concatenated together without using compression., GitHub Electron|GitHub Electron|GitHub Electron, https://fileinfo.com//extension/asar
.scn, Game Files, Godot Engine Binary Scene File, Game file used by OpenTTD. the open source follow-on project to Transport Tycoon; saves a game scenario. which defines the starting conditions for a map played by the user; may include the landscape. buildings. cities. train tracks. and other features., OpenTTD|Microprose Transport Tycoon|Microsoft Age of Mythology|Microsoft Age of Mythology: The Titans Expansion|Microsoft Age of Empires|CPNBUILD|Godot Engine|Godot Engine|Godot Engine|Maxis SimCity 2000|Maxis SimCity 2000|Orbiter|TreePaint Plus|Technology Design TD Scan, https://fileinfo.com//extension/scn
.jlr, Developer Files, Juliar Source Code File, A JLR file is a file written in Juliar. which is a programming language designed for cross-platform rapid prototyping.  It contains Juliar source code that can be interpreted by Juliar.jar or compiled to .JAR files or JLRLIB files. which are compiled versions of Juliar library files., Juliar|Juliar|Juliar|Juliar, https://fileinfo.com//extension/jlr
